Indicator Code,Topic,Development relevance
SH.XPD.PVTD.PP.CD,Health: Health systems,"Strengthening health financing is one objective of Sustainable Development Goal 3 (SDG target 3.c).  The levels and trends of health expenditure data identify key issues such as weaknesses and strengths and areas that need investment, for instance additional health facilities, better health information systems, or better trained human resources.  Health financing is also critical for reaching universal health coverage (UHC) defined as all people obtaining the quality health services they need without suffering financial hardship (SDG 3.8).  The data on out-of-pocket spending is a key indicator with regard to financial protection and hence of progress towards UHC."
SI.DST.02ND.20,Poverty: Income distribution,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution measures are important background indicators for shared prosperity.
SI.DST.03RD.20,Poverty: Income distribution,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution measures are important background indicators for shared prosperity.
SI.DST.04TH.20,Poverty: Income distribution,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution measures are important background indicators for shared prosperity.
SI.DST.05TH.20,Poverty: Income distribution,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution measures are important background indicators for shared prosperity.
SI.DST.10TH.10,Poverty: Income distribution,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution measures are important background indicators for shared prosperity.
SI.DST.50MD,Poverty: Income distribution,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution measures are important background indicators for shared prosperity. The share living below half the median income is Sustainable Development Goal indicator 10.2.1.
SI.DST.FRST.10,Poverty: Income distribution,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution measures are important background indicators for shared prosperity.
SI.DST.FRST.20,Poverty: Income distribution,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution measures are important background indicators for shared prosperity.
SI.POV.DDAY,Poverty: Poverty rates,"The World Bank Group is committed to reducing extreme poverty to 3 percent or less, globally, by 2030. Monitoring poverty is important on the global development agenda as well as on the national development agenda of many countries. The World Bank produced its first global poverty estimates for developing countries for World Development Report 1990: Poverty (World Bank 1990) using household survey data for 22 countries (Ravallion, Datt, and van de Walle 1991). Since then there has been considerable expansion in the number of countries that field household income and expenditure surveys."
SI.POV.GAPS,Poverty: Poverty rates,"The World Bank Group is committed to reducing extreme poverty to 3 percent or less, globally, by 2030. Monitoring poverty is important on the global development agenda as well as on the national development agenda of many countries. The World Bank produced its first global poverty estimates for developing countries for World Development Report 1990: Poverty (World Bank 1990) using household survey data for 22 countries (Ravallion, Datt, and van de Walle 1991). Since then there has been considerable expansion in the number of countries that field household income and expenditure surveys."
SI.POV.GINI,Poverty: Income distribution,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Gini coefficients are important background information for shared prosperity.
SI.POV.LMIC,Poverty: Poverty rates,"The World Bank Group is committed to reducing extreme poverty to 3 percent or less, globally, by 2030. Monitoring poverty is important on the global development agenda as well as on the national development agenda of many countries. The World Bank produced its first global poverty estimates for developing countries for World Development Report 1990: Poverty (World Bank 1990) using household survey data for 22 countries (Ravallion, Datt, and van de Walle 1991). Since then there has been considerable expansion in the number of countries that field household income and expenditure surveys."
SI.POV.LMIC.GP,Poverty: Poverty rates,"The World Bank Group is committed to reducing extreme poverty to 3 percent or less, globally, by 2030. Monitoring poverty is important on the global development agenda as well as on the national development agenda of many countries. The World Bank produced its first global poverty estimates for developing countries for World Development Report 1990: Poverty (World Bank 1990) using household survey data for 22 countries (Ravallion, Datt, and van de Walle 1991). Since then there has been considerable expansion in the number of countries that field household income and expenditure surveys."
SI.POV.MPUN,Poverty: Poverty rates,"The global MPI was developed Sabina Alkire and Maria Emma Santos (2014), in collaboration with the Human Development Report Office (HDRO) at UNDP as an internationally comparable measure of acute poverty. Technically, the global MPI relies on the Alkire-Foster method (2011). In 2018, five out of the ten indicators have been revised to better align with the SDGs (see Alkire, Kanagaratnam, Nogales and Suppa 2022; Alkire and Kanagaratnam 2020; Alkire and Jahan 2018)."
SI.POV.MPWB,Poverty: Poverty rates,"Monitoring poverty is important on the global development agenda as well as on the national development agenda of many countries. The first Sustainable Development Goal calls for ending poverty in all forms by 2030. Poverty is multidimensional, containing both monetary and non-monetary dimensions. The World Bank's multidimensional poverty measure captures both elements, allowing for a more complete tracking of poverty in all forms"
SI.POV.NAHC,Poverty: Poverty rates,The poverty rate as defined by national poverty lines reflects the share of the population that fails to meet the standard a country thinks is necessarty to cover basic needs.
SI.POV.SOPO,Poverty: Poverty rates,"Monitoring poverty is important on the global development agenda as well as on the national development agenda of many countries. The first Sustainable Development Goal calls for ending poverty in all forms by 2030. Typically, countries' poverty lines increase in real value as their economies get richer. Essentially, this is because in a richer country it is costlier to participate in society (i.e., be considered non-poor). Yet as relative poverty lines can take on very low values for poor countries, one may want to ensure a lower bound which provides a fixed, absolute element to the SPL, which the study interprets as the cost of consuming some minimum bundle of goods. The Societal Poverty Line tracks poverty rates consistent with these considerations."
SI.POV.UMIC,Poverty: Poverty rates,"The World Bank Group is committed to reducing extreme poverty to 3 percent or less, globally, by 2030. Monitoring poverty is important on the global development agenda as well as on the national development agenda of many countries. The World Bank produced its first global poverty estimates for developing countries for World Development Report 1990: Poverty (World Bank 1990) using household survey data for 22 countries (Ravallion, Datt, and van de Walle 1991). Since then there has been considerable expansion in the number of countries that field household income and expenditure surveys."
SI.POV.UMIC.GP,Poverty: Poverty rates,"The World Bank Group is committed to reducing extreme poverty to 3 percent or less, globally, by 2030. Monitoring poverty is important on the global development agenda as well as on the national development agenda of many countries. The World Bank produced its first global poverty estimates for developing countries for World Development Report 1990: Poverty (World Bank 1990) using household survey data for 22 countries (Ravallion, Datt, and van de Walle 1991). Since then there has been considerable expansion in the number of countries that field household income and expenditure surveys."
SI.RMT.COST.IB.ZS,Financial Sector: Access,"Reducing the cost of remittance transactions has a direct impact on development by freeing additional resources that, instead of being paid as transaction cost, will remain with the senders and receivers of the flows. Remittance cost is highlighted in Sustainable Development Goal 10. Target 10.c calls for reducing to less than 3 percent the transaction costs of migrant remittances and ensure that in no corridor remittance senders are required to pay more than 5 percent by 2030."
SI.RMT.COST.OB.ZS,Financial Sector: Access,"Reducing the cost of remittance transactions has a direct impact on development by freeing additional resources that, instead of being paid as transaction cost, will remain with the senders and receivers of the flows. Remittance cost is highlighted in Sustainable Development Goal 10. Target 10.c calls for reducing to less than 3 percent the transaction costs of migrant remittances and ensure that in no corridor remittance senders are required to pay more than 5 percent by 2030."
SI.SPR.PC40,Poverty: Shared prosperity,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country.
SI.SPR.PC40.ZG,Poverty: Shared prosperity,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country.
SI.SPR.PCAP,Poverty: Shared prosperity,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country.
SI.SPR.PCAP.ZG,Poverty: Shared prosperity,The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country.
SI.SPR.PGAP,Poverty: Shared prosperity,The World Bank Group's mission is to end extreme poverty and boost shared prosperity on a livable planet. Boosting shared prosperity is key to ensure that development gains are shared across vulnerable groups. The goal of boosting shared prosperity is defined using the prosperity gap.
SL.AGR.0714.FE.ZS,Social Protection & Labor: Economic activity,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment."
SL.AGR.0714.MA.ZS,Social Protection & Labor: Economic activity,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment."
SL.AGR.0714.ZS,Social Protection & Labor: Economic activity,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment."
SL.AGR.EMPL.FE.ZS,Social Protection & Labor: Economic activity,"Sectoral information is particularly useful in identifying broad shifts in employment and stages of development. In the textbook case of economic development, labour flows from agriculture and other labour-intensive primary activities to industry and finally to the services sector; in the process, workers migrate from rural to urban areas.

The breakdown of the indicator by sex allows for analysis of gender segregation of employment by specific sector. Women may be drawn into lower-paying service activities that allow for more flexible work schedules thus making it easier to balance family responsibilities with work life. Segregation of women in certain sectors may also result from cultural attitudes that prevent them from entering industrial employment.
Segregating one sex in a narrow range of occupations significantly reduces economic efficiency by reducing labor market flexibility and thus the economy's ability to adapt to change. This segregation is particularly harmful for women, who have a much narrower range of labor market choices and lower levels of pay than men. But it is also detrimental to men when job losses are concentrated in industries dominated by men and job growth is centered in service occupations, where women have better chances, as has been the recent experience in many countries."
SL.AGR.EMPL.MA.ZS,Social Protection & Labor: Economic activity,"Sectoral information is particularly useful in identifying broad shifts in employment and stages of development. In the textbook case of economic development, labour flows from agriculture and other labour-intensive primary activities to industry and finally to the services sector; in the process, workers migrate from rural to urban areas.

The breakdown of the indicator by sex allows for analysis of gender segregation of employment by specific sector. Women may be drawn into lower-paying service activities that allow for more flexible work schedules thus making it easier to balance family responsibilities with work life. Segregation of women in certain sectors may also result from cultural attitudes that prevent them from entering industrial employment.
Segregating one sex in a narrow range of occupations significantly reduces economic efficiency by reducing labor market flexibility and thus the economy's ability to adapt to change. This segregation is particularly harmful for women, who have a much narrower range of labor market choices and lower levels of pay than men. But it is also detrimental to men when job losses are concentrated in industries dominated by men and job growth is centered in service occupations, where women have better chances, as has been the recent experience in many countries."
SL.AGR.EMPL.ZS,Social Protection & Labor: Economic activity,"Sectoral information is particularly useful in identifying broad shifts in employment and stages of development. In the textbook case of economic development, labour flows from agriculture and other labour-intensive primary activities to industry and finally to the services sector; in the process, workers migrate from rural to urban areas.

The breakdown of the indicator by sex allows for analysis of gender segregation of employment by specific sector. Women may be drawn into lower-paying service activities that allow for more flexible work schedules thus making it easier to balance family responsibilities with work life. Segregation of women in certain sectors may also result from cultural attitudes that prevent them from entering industrial employment.
Segregating one sex in a narrow range of occupations significantly reduces economic efficiency by reducing labor market flexibility and thus the economy's ability to adapt to change. This segregation is particularly harmful for women, who have a much narrower range of labor market choices and lower levels of pay than men. But it is also detrimental to men when job losses are concentrated in industries dominated by men and job growth is centered in service occupations, where women have better chances, as has been the recent experience in many countries."
SL.EMP.1524.SP.FE.NE.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.1524.SP.FE.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.1524.SP.MA.NE.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.1524.SP.MA.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.1524.SP.NE.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.1524.SP.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.MPYR.FE.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.MPYR.MA.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.MPYR.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.SELF.FE.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.SELF.MA.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.SELF.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.SMGT.FE.ZS,Social Protection & Labor: Economic activity,"The indicator provides information on the proportion of women who are employed in decision-making and management roles in government, large enterprises and institutions."
SL.EMP.TOTL.SP.FE.NE.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.TOTL.SP.FE.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.TOTL.SP.MA.NE.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.TOTL.SP.MA.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.TOTL.SP.NE.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.TOTL.SP.ZS,Social Protection & Labor: Economic activity,"Four targets were added to the UN Millennium Declaration at the 2005 World Summit High-Level Plenary Meeting of the 60th Session of the UN General Assembly. One was full and productive employment and decent work for all, which is seen as the main route for people to escape poverty. Employment to population ratio is a key measure to monitor whether a country is on track to achieve the Millennium Development Goal of eradicating extreme poverty and hunger by 2015. And it continues to be a priority in the Sustainable Development Goal of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
SL.EMP.VULN.FE.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.VULN.MA.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.VULN.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.WORK.FE.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.WORK.MA.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.EMP.WORK.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.FAM.0714.FE.ZS,Social Protection & Labor: Economic activity,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment."
SL.FAM.0714.MA.ZS,Social Protection & Labor: Economic activity,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment."
SL.FAM.0714.ZS,Social Protection & Labor: Economic activity,"In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment."
SL.FAM.WORK.FE.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
SL.FAM.WORK.MA.ZS,Social Protection & Labor: Economic activity,"Breaking down employment information by status in employment provides a statistical basis for describing workers' behaviour and conditions of work, and for defining an individual's socio-economic group. A high proportion of wage and salaried workers in a country can signify advanced economic development. If the proportion of own-account workers (self-employed without hired employees) is sizeable, it may be an indication of a large agriculture sector and low growth in the formal economy. A high proportion of contributing family workers — generally unpaid, although compensation might come indirectly in the form of family income — may indicate weak development, little job growth, and often a large rural economy.

Each status group faces different economic risks, and contributing family workers and own-account workers are the most vulnerable - and therefore the most likely to fall into poverty. They are the least likely to have formal work arrangements, are the least likely to have social protection and safety nets to guard against economic shocks, and often are incapable of generating sufficient savings to offset these shocks."
